"LOGICIEL
,,R,2,COBERTURA,,"Conception & 
Développement",2.1.1,,,GPL2,"Qualité et sécurité 
du code source",,Couverture du code
,,R,2,JUNIT,,"Conception & 
Développement",4.11,,,EPL1,Test & Intégration,,Outil de gestion des tests unitaires
,,R,2,FITNESSE,,"Conception & 
Développement",20140418,,,CPL,Test & Intégration,,"Outil d'injection afin tester les 
couches basses"
,,R,2,JMETER,,"Conception & 
Développement",2.13,,,Apache,Test & Intégration,,Robot de test / Injecteurs
,"Tests orientés Web 
Services",R,2,SOAPUI,,"Conception & 
Développement",5.1.3,,,LGPL,Test & Intégration,,Outil d'aide aux tests techniques
,,R,2,JENKINS,,"Conception & 
Développement",1580,,,MIT,Test & Intégration,,"Outil d'aide à la livraison (dépôt, 
intégration continue...)"
,,R,2,SELENIUM,,"Conception & 
Développement",2.45,,,Apache 2.0,Test & Intégration,,Automatisation des tests Web
,,R,2,TESTLINK,,"Conception & 
Développement",1.9.3,,,GPL,Test & Intégration,,Gestion des campagnes de tests
,,O,2,SQUASH TM,,"Conception & 
Développement",1.12.0,,,LGPL,Test & Intégration,,Gestion des campagnes de tests
,,R,2,JAILER,,"Conception & 
Développement",4.0.6,,,Apache 2.0,Test & Intégration,,"Génération / Gestion des jeux de 
données"
,poste développeur,O,2,CHROMIUM,,"Conception & 
Développement
Opérations",46.0 et +,,,BSD,Test & Intégration,,Navigateurs
,poste développeur,R,2,H2,,"Conception & 
Développement
Opérations",1.4.186,,,"MPL 2.0
EPL 1",Test & Intégration,,Base de données
,,R,2,JAVAMELODY,,"Conception & 
Développement
Opérations",1.56,,,ASL,Test & Intégration,,Outil de monitoring
,"Outil d'automatisation de 
la reprise de données",R,2,"TALEND OPEN 
STUDIO FOR DATA 
INTEGRATION 
(BASIC)",,"Conception & 
Développement
Opérations",5.6.2,,,Apache 2.0,Test & Intégration,,Reprise des données
,,R,2,REDMINE,,"Orchestration & 
logique métier",2.6,,,GPL,Outil collaboratif,,Portail de gestion de projet
,,"O
O",2,"FUSIONFORGE
NOVAFORGE",,"Orchestration & 
logique métier",,,,GPL,Outil collaboratif,,Forge de développement
,"Utilisé au sein d'une 
forge. Gestion des droits 
délégués à la forge.",R,2,MEDIAWIKI,,"Orchestration & 
logique métier",1.19,,,GPL2+,Outil collaboratif,,"Outil pour améliorer la collaboration
entre les différentes parties 
prenantes"
,"Utilisé au sein d'une 
forge.",R,2,PHPBB,,"Orchestration & 
logique métier",3.0.9,,,GPL2,Outil collaboratif,,Forum
,Base de production,R,,PostgreSQL,,"Données et 
contenu",9.4,,,PostgreSQL License,BD Relationnelles,,Base de données transactionnelle
,Base de production,O,,MARIA DB,,"Données et 
contenu",,,,"GPL2
LGPL",BD Relationnelles,,Base transactionnelle cluster
,"information 
géographique",R,,PostGIS,,"Données et 
contenu",2.1,,,GPL,BD Relationnelles,,Base de données\nGéomatique
,"Base de données 
Document",R,,MongoDB,,"Données et 
contenu",3,,,"AGPL 3.0
Apache 2.0
CC BY-NC-SA 3.0","Gestionnaire de 
données non 
relationnelles",,Base de données NoSQL\n
,Gros Volume de donnée,O,,Cassandra,,"Données et 
contenu",,,,Apache 2.0,"Gestionnaire de 
données non 
relationnelles",,
,Portail décisionnel,O,,Pentaho,,"Données et 
contenu",,,,"Pentaho Community 
Edition (CE)
Apache 2.0",Portail décisionnel,,Portail décisionnel
,En mode cluster,R,,ElasticSearch,,"Données et 
contenu",2,,,Apache 2.0,Moteur de recherche,,Indexation et recherche plein texte
,Limité à 1 serveur,R,,Apache SolR,,"Données et 
contenu",,,,Apache 2.0,Moteur de recherche,,
,en centre de production,R,,"CentOS (souche 
Redhat)",,"Logiciel Système 
et Virtualisation",7,,,"GPL et autres 
licences","Système 
d'Exploitation",,Distribution GNU/LINUX
,services déconcentrés,R,,Ubuntu – Eole,,"Logiciel Système 
et Virtualisation",2.5,,,"GPL et autres 
licences","Système 
d'Exploitation",,Distribution GNU/LINUX
,en centre de production,R,,Debian,,"Logiciel Système 
et Virtualisation",8,,,DFSG,"Système 
d'Exploitation",,Distribution GNU/LINUX
,virtualisation serveurs,R,,KVM,,"Logiciel Système 
et Virtualisation",,,,"GPL
LGPL","Virtualisation 
serveur et jusqu'à 
plateforme",,Hyperviseur
,infra virtuelle,O,,OpenNebula,,"Logiciel Système 
et Virtualisation",4.14,,,Apache 2.0,"Virtualisation 
serveur et jusqu'à 
plateforme",,Virtualisation de serveurs
,,R,,"Pacemaker – 
corosync",,"Logiciel Système 
et Virtualisation",,,,GPL2,"Haute disponibilité 
(OS)",,HA-OS \c Hors module applicatif
,,FV,,Nagios  (Fin de vie),,Opérations,,,,GPL2,"Supervision / 
Hypervision",,"Supervision Infrastructure et 
composants de base"
,,O,,Shinken,,Opérations,,,,AGPL,"Supervision / 
Hypervision",,
,,R,,Centreon,,Opérations,2.6.6,,,GPL2,"Supervision / 
Hypervision",,"Supervision Infrastructure et 
composants de base"
,,O,,"OpenSource Job 
Scheduler",,Opérations,,,,GPL,Ordonnanceur,,Ordonnanceur
,Serveurs bureautiques,FV,,Samba 3,,Stockage,,,,GPL3,Partage de fichiers,,Serveur Bureautique
,"En remplacement de 
Samba 3",R,,Samba 4,,Stockage,4.1,,,GPL3,Partage de fichiers,,Serveur Bureautique
,Serveur Bureautique,R,,ClamAV,,Sécurité,,,,GPL,Antivirus,,Antivirus \c Orienté serveur
,,O,,DAVFI/UHURU,,Sécurité,,,,"Apache 2.0
GPL2",Antivirus,,
,,R,,OpenLdap,,Sécurité,2.4,,,"OpenLDAP Public 
License",Authentification,,Annuaire
